datetime,open,high,low,close,volume
2014-01-01 22:00:00,1.37525,1.37622,1.37509,1.37598,93
2014-01-01 22:05:00,1.37599,1.37622,1.37598,1.37611,49
2014-01-01 22:10:00,1.37613,1.37626,1.37424,1.37498,399
2014-01-01 22:15:00,1.37502,1.37578,1.37490,1.37562,117
2014-01-01 22:20:00,1.37534,1.37642,1.37534,1.37628,107
2014-01-01 22:25:00,1.37632,1.37640,1.37482,1.37517,134
2014-01-01 22:30:00,1.37516,1.37564,1.37502,1.37554,173
2014-01-01 22:35:00,1.37555,1.37576,1.37528,1.37546,283
2014-01-01 22:40:00,1.37542,1.37570,1.37532,1.37541,214
2014-01-01 22:45:00,1.37544,1.37584,1.37544,1.37556,193
2014-01-01 22:50:00,1.37556,1.37613,1.37534,1.37560,305
2014-01-01 22:55:00,1.37560,1.37668,1.37547,1.37626,356
2014-01-02 07:00:00,1.37508,1.37536,1.37506,1.37524,287
2014-01-02 07:05:00,1.37524,1.37524,1.37442,1.37454,318
2014-01-02 07:10:00,1.37454,1.37476,1.37424,1.37426,333
2014-01-02 07:15:00,1.37424,1.37465,1.37424,1.37460,313
2014-01-02 07:20:00,1.37461,1.37484,1.37458,1.37474,232
2014-01-02 07:25:00,1.37474,1.37496,1.37470,1.37482,239
2014-01-02 07:30:00,1.37484,1.37486,1.37442,1.37446,443
2014-01-02 07:35:00,1.37446,1.37449,1.37406,1.37416,497
2014-01-02 07:40:00,1.37416,1.37433,1.37350,1.37356,545
2014-01-02 07:45:00,1.37357,1.37362,1.37322,1.37338,521
2014-01-02 07:50:00,1.37336,1.37346,1.37258,1.37264,551
2014-01-02 07:55:00,1.37264,1.37324,1.37264,1.37322,621
2014-01-02 08:00:00,1.37322,1.37330,1.37260,1.37270,706
2014-01-02 08:05:00,1.37270,1.37270,1.37199,1.37244,809
2014-01-02 08:10:00,1.37244,1.37268,1.37160,1.37212,842
2014-01-02 08:15:00,1.37212,1.37258,1.37183,1.37246,1082
2014-01-02 08:20:00,1.37242,1.37247,1.37170,1.37170,508
2014-01-02 08:25:00,1.37172,1.37198,1.37163,1.37190,588
2014-01-02 08:30:00,1.37186,1.37236,1.37181,1.37235,383
2014-01-02 08:35:00,1.37236,1.37276,1.37228,1.37275,563
2014-01-02 08:40:00,1.37274,1.37413,1.37274,1.37368,979
2014-01-02 08:45:00,1.37368,1.37386,1.37311,1.37311,766
2014-01-02 08:50:00,1.37312,1.37326,1.37236,1.37264,888
2014-01-02 08:55:00,1.37265,1.37283,1.37242,1.37271,422
2014-01-02 09:00:00,1.37273,1.37322,1.37248,1.37322,739
2014-01-02 09:05:00,1.37324,1.37376,1.37320,1.37344,770
2014-01-02 09:10:00,1.37344,1.37360,1.37306,1.37306,469
2014-01-02 09:15:00,1.37306,1.37312,1.37253,1.37270,691
2014-01-02 09:20:00,1.37270,1.37297,1.37232,1.37250,533
2014-01-02 09:25:00,1.37250,1.37294,1.37228,1.37282,553
2014-01-02 09:30:00,1.37280,1.37296,1.37260,1.37282,538
2014-01-02 09:35:00,1.37282,1.37295,1.37236,1.37240,468
2014-01-02 09:40:00,1.37240,1.37277,1.37225,1.37277,527
2014-01-02 09:45:00,1.37278,1.37310,1.37272,1.37301,522
2014-01-02 09:50:00,1.37302,1.37388,1.37300,1.37375,902
2014-01-02 09:55:00,1.37375,1.37424,1.37286,1.37296,1046
2014-01-02 10:00:00,1.37297,1.37323,1.37274,1.37322,685
2014-01-02 10:05:00,1.37322,1.37326,1.37282,1.37294,365
2014-01-02 10:10:00,1.37292,1.37294,1.37272,1.37282,218
2014-01-02 10:15:00,1.37282,1.37298,1.37262,1.37264,494
2014-01-02 10:20:00,1.37264,1.37274,1.37235,1.37254,420
2014-01-02 10:25:00,1.37254,1.37258,1.37201,1.37227,586
2014-01-02 10:30:00,1.37225,1.37249,1.37207,1.37242,414
2014-01-02 10:35:00,1.37242,1.37278,1.37224,1.37229,420
2014-01-02 10:40:00,1.37228,1.37246,1.37220,1.37232,431
2014-01-02 10:45:00,1.37232,1.37288,1.37232,1.37279,339
2014-01-02 10:50:00,1.37283,1.37291,1.37253,1.37256,346
2014-01-02 10:55:00,1.37254,1.37268,1.37238,1.37242,437
2014-01-02 11:00:00,1.37242,1.37242,1.37064,1.37077,1179
2014-01-02 11:05:00,1.37075,1.37078,1.37015,1.37042,820
2014-01-02 11:10:00,1.37042,1.37048,1.36906,1.36954,1031
2014-01-02 11:15:00,1.36954,1.36967,1.36912,1.36934,728
2014-01-02 11:20:00,1.36934,1.36934,1.36876,1.36914,542
2014-01-02 11:25:00,1.36914,1.36918,1.36844,1.36894,487
2014-01-02 11:30:00,1.36892,1.36893,1.36844,1.36874,433
2014-01-02 11:35:00,1.36876,1.36922,1.36876,1.36918,352
2014-01-02 11:40:00,1.36918,1.36957,1.36912,1.36942,286
2014-01-02 11:45:00,1.36940,1.36948,1.36930,1.36934,265
2014-01-02 11:50:00,1.36934,1.36940,1.36890,1.36932,319
2014-01-02 11:55:00,1.36930,1.36935,1.36892,1.36895,265
